"country","Personal Freedom","Economic Freedom"
"Sweden","9.45","7.56"
"Netherlands","9.28","7.72"
"New Zealand","9.27","8.50"
"Finland","9.27","7.80"
"Luxembourg","9.26","7.86"
"Norway","9.26","7.62"
"Germany","9.25","7.82"
"Austria","9.25","7.71"
"Denmark","9.24","7.89"
"Switzerland","9.24","8.40"
"Canada","9.22","8.08"
"Australia","9.16","8.07"
"Iceland","9.08","7.74"
"Belgium","9.07","7.51"
"Estonia","9.02","7.89"
"Portugal","9.02","7.52"
"Taiwan","8.94","7.85"
"Czech Rep.","8.92","7.75"
"Ireland","8.90","8.13"
"United Kingdom","8.85","8.09"
"Latvia","8.85","7.73"
"Korea, South","8.81","7.59"
"Slovenia","8.78","7.15"
"Malta","8.77","7.97"
"Lithuania","8.76","7.88"
"United States","8.72","8.19"
"Hong Kong","8.70","8.91"
"Japan","8.70","7.86"
"France","8.69","7.35"
"Spain","8.69","7.55"
"Italy","8.67","7.41"
"Romania","8.54","7.68"
"Slovak Rep.","8.54","7.51"
"Croatia","8.45","7.26"
"Uruguay","8.42","7.05"
"Chile","8.41","7.89"
"Poland","8.32","7.24"
"Suriname","8.30","6.65"
"Cyprus","8.18","7.68"
"Greece","8.07","6.59"
"Argentina","8.04","5.67"
"Bosnia and Herzegovina","8.04","6.69"
"Hungary","8.04","7.27"
"Bulgaria","8.04","7.54"
"Montenegro","8.03","6.84"
"Albania","8.01","7.67"
"Costa Rica","7.99","7.41"
"Bahamas","7.87","7.25"
"Mongolia","7.79","7.43"
"Cape Verde","7.74","7.16"
"Panama","7.72","7.66"
"Serbia","7.71","6.89"
"Israel","7.70","7.53"
"North Macedonia","7.66","7.02"
"Peru","7.61","7.49"
"Fiji","7.61","6.74"
"Barbados","7.59","6.45"
"South Africa","7.55","6.61"
"Georgia","7.53","7.94"
"Timor-Leste","7.52","5.99"
"Singapore","7.50","8.71"
"Benin","7.47","6.08"
"Burkina Faso","7.39","6.07"
"Ecuador","7.36","6.28"
"Ghana","7.30","6.58"
"Jamaica","7.23","7.17"
"Côte d'Ivoire","7.20","5.97"
"Moldova","7.20","6.66"
"Colombia","7.18","6.68"
"Guyana","7.16","6.32"
"Seychelles","7.16","7.16"
"Armenia","7.15","7.70"
"Malawi","7.13","6.06"
"Belize","7.12","6.78"
"Bolivia","7.07","6.14"
"Kyrgyz Republic","7.05","6.92"
"Dominican Rep.","6.98","6.92"
"Mauritius","6.98","8.07"
"Senegal","6.97","6.17"
"Namibia","6.97","6.53"
"Botswana","6.97","7.37"
"Haiti","6.93","6.49"
"Guinea-Bissau","6.90","5.23"
"Mozambique","6.89","5.60"
"Pap. New Guinea","6.84","6.36"
"Cambodia","6.82","7.44"
"Paraguay","6.78","7.03"
"Brazil","6.74","6.23"
"Nicaragua","6.72","7.01"
"Kazakhstan","6.69","7.10"
"Belarus","6.66","6.64"
"Kenya","6.65","7.05"
"El Salvador","6.62","7.16"
"Lesotho","6.57","6.50"
"Guatemala","6.56","7.57"
"Ukraine","6.56","5.96"
"Trinidad and Tobago","6.54","6.70"
"Nepal","6.53","6.49"
"Lebanon","6.52","6.97"
"Congo, Rep. of","6.52","5.08"
"Madagascar","6.51","6.14"
"Honduras","6.47","7.16"
"Philippines","6.44","7.32"
"Togo","6.41","6.21"
"Indonesia","6.38","7.27"
"Mexico","6.38","6.93"
"Rwanda","6.38","7.26"
"India","6.37","6.91"
"Vietnam","6.31","6.27"
"Eswatini","6.29","6.52"
"Bhutan","6.29","6.77"
"Sierra Leone","6.27","5.71"
"Thailand","6.25","6.86"
"Sri Lanka","6.25","6.57"
"Jordan","6.23","7.44"
"Mali","6.15","5.91"
"Zambia","6.13","6.84"
"Liberia","6.13","6.56"
"Azerbaijan","6.10","6.34"
"Gabon","6.10","5.88"
"Angola","5.98","4.83"
"Tunisia","5.97","6.20"
"Kuwait","5.97","6.41"
"China","5.92","6.42"
"Niger","5.92","5.83"
"Bahrain","5.91","7.35"
"Russia","5.90","6.78"
"Nigeria","5.90","6.86"
"Uganda","5.82","7.39"
"Tanzania","5.75","6.77"
"Turkey","5.74","6.67"
"Laos","5.74","6.67"
"Congo, Dem. R.","5.73","5.00"
"Malaysia","5.70","7.34"
"Morocco","5.68","6.69"
"Zimbabwe","5.61","5.69"
"Central Afr. Rep.","5.59","5.23"
"Tajikistan","5.49","6.05"
"Chad","5.49","5.42"
"Pakistan","5.47","5.91"
"Cameroon","5.43","5.84"
"Bangladesh","5.37","6.18"
"Guinea","5.37","5.86"
"Myanmar","5.26","5.63"
"Qatar","5.24","7.07"
"Algeria","5.20","4.77"
"Oman","5.20","6.76"
"United Arab Emirates","5.09","7.17"
"Venezuela","5.03","2.58"
"Burundi","4.95","6.17"
"Libya","4.83","4.45"
"Mauritania","4.83","6.11"
"Ethiopia","4.77","5.72"
"Brunei Darussalam","4.76","6.62"
"Gambia, The","4.64","7.23"
"Iran","4.48","5.72"
"Saudi Arabia","4.32","6.52"
"Sudan","3.97","4.67"
"Egypt","3.95","5.05"
"Iraq","3.47","5.21"
"Yemen, Rep.","2.75","5.84"
"Syria","2.53","5.05"
