"name","costOfLivingIndex","rentIndex","restaurantsIndex","localPurchasingPowerIndex","pop2019"
"Pakistan","18.5800","4.0200","13.7800","36.1000","216565.3180"
"Afghanistan","24.5100","4.2900","17.1200","28.8700","38041.7540"
"India","25.1400","5.9900","17.5100","61.7300","1366417.7540"
"Syria","25.3100","5.4400","20.7700","12.3700","17070.1350"
"Tunisia","25.4300","5.1800","14.0500","37.6300","11694.7190"
"Uzbekistan","25.7900","7.8200","19.3400","25.8000","32981.7160"
"Venezuela","27.2200","6.8500","22.3100","2.7900","28515.8290"
"Georgia","27.7800","9.3000","25.9700","30.2300","3996.7650"
"Kyrgyzstan","28.1300","8.9600","22.3000","25.2800","6415.8500"
"Egypt","29.0900","5.2800","24.2400","23.2700","100388.0730"
"Azerbaijan","29.8100","9.1700","31.4000","28.4800","10047.7180"
"Kazakhstan","30.0600","9.5100","29.8800","38.6500","18551.4270"
"Colombia","30.2500","9.4300","22.3300","34.5500","50339.4430"
"Algeria","30.5400","5.5100","16.4600","31.9700","43053.0540"
"Nepal","30.6900","4.9600","20.2700","24.1500","28608.7100"
"Ukraine","30.9400","10.3300","23.9800","33.1400","43993.6380"
"Uganda","31.7200","10.0200","24.2000","22.4900","44269.5940"
"Nigeria","31.7500","21.5900","20.6600","15.9100","200963.5990"
"Bangladesh","32.6200","5.1800","19.8000","37.2100","163046.1610"
"Moldova","32.6300","7.9000","27.2200","29.4800","4043.2630"
"Armenia","32.7000","10.5600","31.0400","30.4400","2957.7310"
"Sri Lanka","32.9500","6.8300","19.2700","25.5900","21323.7330"
"Belarus","33.0200","10.3200","34.2700","42.9200","9452.4110"
"Paraguay","33.3200","9.8100","27.5000","35.2300","7044.6360"
"Rwanda","34.0100","9.7300","28.4700","21.1300","12626.9500"
"Bolivia","34.0700","10.6200","26.6400","44.7400","11513.1000"
"Mexico","34.2900","10.8500","30.9700","47.0500","127575.5290"
"Mongolia","34.4300","9.6800","23.3100","29.8300","3225.1670"
"Morocco","34.5900","9.2900","23.9400","39.4000","36471.7690"
"Tanzania","35.0700","14.7400","24.4000","20.6400","58005.4630"
"Zambia","35.4900","10.9900","25.5700","69.4000","17861.0300"
"Turkey","35.6600","7.2700","25.1500","44.4400","83429.6150"
"Romania","36.0700","10.1900","31.6800","54.2000","19364.5570"
"Bosnia and Herzegovina","36.1900","6.5900","24.7800","46.5200",3301
"Serbia","36.3000","8.7500","29.8700","37.9400","8772.2350"
"Albania","36.6300","8.6300","28.6700","32.1900","2880.9170"
"Indonesia","36.8600","9.0100","18.1800","31.0100","270625.5680"
"Philippines","36.9700","8.6600","20.8600","27.2100","108116.6150"
"Bulgaria","37.3700","9.4500","29.7100",51,"7000.1190"
"Vietnam","38.1700","13.3400","19.9800","30.2200","96462.1060"
"Russia","38.5900",12,"39.3200","43.6900","145872.2560"
"Argentina","38.7200","10.3800","36.4300","52.0100","44780.6770"
"Peru","38.8200","12.4100","26.3200","37.4200","32510.4530"
"Kenya","39.2600","11.2000","32.3500","29.3400","52573.9730"
"Montenegro","39.3700","10.3000","34.1700","42.1900","627.9870"
"Botswana","39.3700","11.4300","42.5600","67.5700","2303.6970"
"Poland","39.3800","15.2900","32.8900","66.0600","37887.7680"
"Malaysia","39.4600","10.6500","22.9700","70.3500","31949.7770"
"Suriname","39.5800","8.1900","33.3600","24.7600","581.3720"
"Iraq","39.8400","11.1100","33.9200","46.4100","39309.7830"
"China","40.5400","17.1900","29.6800","63.9300","1433783.6860"
"Iran","41.3900","14.2900","25.5400","25.9500","82913.9060"
"Hungary","41.7000","13.8400","34.2000","53.7800","9684.6790"
"Cuba","41.7300","6.3100","29.7100","2.6700","11333.4830"
"Ecuador","41.9900","11.8300","31.4900","40.8400","17373.6620"
"Honduras","42.3400","10.9700","31.6400","35.5200","9746.1170"
"Brazil","42.6400","10.9200","34.2200","36.3100","211049.5270"
"Guatemala","43.0400","14.7700","33.7000","41.4700","17581.4720"
"Ghana","43.1100","26.6100","27.8000","20.6900","30417.8560"
