country_name,happiness_rank,happiness_score,pop2019,country_code,x2018
Finland,1,7.769,5532.156,FIN,50152.3401411303
Denmark,2,7.6,5771.876,DNK,61350.3479093987
Norway,3,7.554,5378.857,NOR,81697.2459836768
Iceland,4,7.494,339.031,ISL,73191.1163154337
Netherlands,5,7.488,17097.13,NLD,53024.0592130531
Switzerland,6,7.48,8591.365,CHE,82796.5471631285
Sweden,7,7.343,10036.379,SWE,54608.3602546906
New Zealand,8,7.307,4783.063,NZL,41945.3316690932
Canada,9,7.278,37411.047,CAN,46232.9896226967
Austria,10,7.246,8955.102,AUT,51461.9547804677
Australia,11,7.228,25203.198,AUS,57373.6866841281
Costa Rica,12,7.167,5047.561,CRI,12027.3658826316
Israel,13,7.139,8519.377,ISR,41715.0292840432
Luxembourg,14,7.09,615.729,LUX,116639.88804711
United Kingdom,15,7.054,67530.172,GBR,42943.9022698053
Ireland,16,7.021,4882.495,IRL,78806.431996268
Germany,17,6.985,83517.045,DEU,47603.0276328757
Belgium,18,6.923,11539.328,BEL,47518.6360388914
United States,19,6.892,329064.917,USA,62794.5856522398
Czech Republic,20,6.852,10689.209,CZE,23078.5734865691
United Arab Emirates,21,6.825,9770.529,ARE,43004.9533584848
Malta,22,6.726,440.372,MLT,30098.2833099975
Mexico,23,6.595,127575.529,MEX,9673.44367360619
France,24,6.592,65129.728,FRA,41463.6440227034
Taiwan,25,6.446,23773.876,,
Chile,26,6.444,18952.038,CHL,15923.3587375381
Guatemala,27,6.436,17581.472,GTM,4549.01008110721
Saudi Arabia,28,6.375,34268.528,SAU,23338.9634580718
Qatar,29,6.374,2832.067,QAT,68793.7844372614
Spain,30,6.354,46736.776,ESP,30370.8923252247
Panama,31,6.321,4246.439,PAN,15575.0725482915
Brazil,32,6.3,211049.527,BRA,8920.76210462979
Uruguay,33,6.293,3461.734,URY,17277.9701105496
Singapore,34,6.262,5804.337,SGP,64581.9440183954
El Salvador,35,6.253,6453.553,SLV,4058.25243928118
Italy,36,6.223,60550.075,ITA,34483.2039992043
Bahrain,37,6.199,1641.172,BHR,24050.7575053956
Slovakia,38,6.198,5457.013,SVK,
Trinidad and Tobago,39,6.192,1394.973,TTO,17129.9130902577
Poland,40,6.182,37887.768,POL,15420.9111634295
Uzbekistan,41,6.174,32981.716,UZB,1532.37167679684
Lithuania,42,6.149,2759.627,LTU,19153.4089860651
Colombia,43,6.125,50339.443,COL,6667.7906995498
Slovenia,44,6.118,2078.654,SVN,26123.9738694646
Nicaragua,45,6.105,6545.502,NIC,2028.89475539369
Argentina,47,6.086,44780.677,ARG,11683.9496216363
Romania,48,6.07,19364.557,ROU,12301.1864034302
Ecuador,50,6.028,17373.662,ECU,6344.87197850057
Kuwait,51,6.021,4207.083,KWT,33994.4065667831
Thailand,52,6.008,69625.582,THA,7273.56320732092
Latvia,53,5.94,1906.743,LVA,17860.6171980214
South Korea,54,5.895,51225.308,KOR,
Estonia,55,5.893,1325.648,EST,23266.3462718751
Jamaica,56,5.89,2948.279,JAM,5354.2368587703
Mauritius,57,5.888,1269.668,MUS,11238.6903948961
Japan,58,5.886,126860.301,JPN,39289.9584346358
Honduras,59,5.86,9746.117,HND,2500.11321286023
Kazakhstan,60,5.809,18551.427,KAZ,9812.60113654067
Bolivia,61,5.779,11513.1,BOL,3548.59013979338
Hungary,62,5.758,9684.679,HUN,16161.9805101918
Paraguay,63,5.743,7044.636,PRY,5821.81432292324
Cyprus,64,5.718,1198.575,CYP,28159.3016999455
Peru,65,5.697,32510.453,PER,6941.23584763012
Portugal,66,5.693,10226.187,PRT,23407.9065887968
Pakistan,67,5.653,216565.318,PAK,1482.40306306798
Russia,68,5.648,145872.256,RUS,
Philippines,69,5.631,108116.615,PHL,3102.71336329931
Serbia,70,5.603,8772.235,SRB,7246.73165586437
Moldova,71,5.529,4043.263,MDA,3227.3121916043
Libya,72,5.525,6777.452,LBY,7241.70448113024
Montenegro,73,5.523,627.987,MNE,8844.23698538056
Tajikistan,74,5.467,9321.018,TJK,826.621530538704
Croatia,75,5.432,4130.304,HRV,14909.6931860854
Hong Kong,76,5.43,7436.154,HKG,
Dominican Republic,77,5.425,10738.958,DOM,8050.63160184635
Bosnia and Herzegovina,78,5.386,3301,BIH,6065.67270824157
Turkey,79,5.373,83429.615,TUR,9370.1763438282
Malaysia,80,5.339,31949.777,MYS,11373.2330025676
Belarus,81,5.323,9452.411,BLR,6289.93855308212
Greece,82,5.287,10473.455,GRC,20324.2535641478
Mongolia,83,5.285,3225.167,MNG,4121.73243469391
Nigeria,85,5.265,200963.599,NGA,2028.18197017598
Kyrgyzstan,86,5.261,6415.85,KGZ,
Turkmenistan,87,5.247,5942.089,TKM,6966.63541063077
